0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
I-34-19063,2024-05-17 09:50:40.732887+00:00,19,0,19,2.48,0,2024-05-17 09:50:40.732887+00:00,CR,0,0,0,747,,34,80,,,FALSE,,,0,FALSE,,
I-34-19061,2024-05-17 09:46:25.192947+00:00,22.25,0,22.25,2.9,0,2024-05-17 09:46:25.192947+00:00,CR,0,0,0,747,,34,80,,,FALSE,,,0,FALSE,,
I-34-19060,2024-05-17 07:56:08.964679+00:00,5.5,0,5.5,0.72,0,2024-05-17 07:56:08.964679+00:00,CR,0,0,0,747,,34,80,,,FALSE,,,0,FALSE,,
I-34-19062,2024-05-17 09:49:05.072542+00:00,8,0,8,1.04,0,2024-05-17 09:49:05.072542+00:00,CR,0,0,0,747,,34,80,,,FALSE,,,0,FALSE,,
I-34-19064,2024-05-17 09:51:09.686240+00:00,8,0,8,1.04,0,2024-05-17 09:51:09.686240+00:00,CR,0,0,0,747,,34,80,,,FALSE,,,0,FALSE,,
I-34-10003,2024-02-29 12:07:12.116000+00:00,65.85,0,65.85,8.59,0,2024-02-29 12:07:12.116000+00:00,CR,0,0,0,388,,34,80,,,FALSE,,,0,FALSE,,
I-34-10001,2024-02-29 12:00:29.132000+00:00,10,5,5,0.65,0,2024-02-29 12:00:29.132000+00:00,CA,0,0,0,387,,34,80,,,FALSE,,,0,FALSE,,
I-34-10002,2024-02-29 12:06:54.334000+00:00,50,24.5,25.5,3.33,0,2024-02-29 12:06:54.334000+00:00,CA,0,0,0,388,,34,80,,,FALSE,,,0,FALSE,,
I-34-10004,2024-02-29 12:14:09.602000+00:00,50,48.5,1.5,0.2,0,2024-02-29 12:14:09.602000+00:00,CA,0,0,0,388,,34,80,,,FALSE,,,0,FALSE,,
I-34-10005,2024-02-29 12:39:40.256000+00:00,3,0,3,0.39,0,2024-02-29 12:39:40.256000+00:00,CA,0,0,0,388,,34,80,,,FALSE,,,0,FALSE,,
I-34-10006,2024-02-29 14:14:25.400000+00:00,100,88,12,1.57,0,2024-02-29 14:14:25.400000+00:00,CA,0,0,0,388,,34,80,,,FALSE,,,0,FALSE,,
I-34-10007,2024-03-06 17:22:30.518000+00:00,110,0,110,14.35,0,2024-03-06 17:22:30.518000+00:00,CR,0,0,0,388,,34,80,,,FALSE,,,0,FALSE,,
I-34-10008,2024-03-06 17:36:47.145000+00:00,16.95,0,16.95,2.21,0,2024-03-06 17:36:47.145000+00:00,CR,0,0,0,388,,34,80,,,FALSE,,,0,FALSE,,
I-34-10009,2024-03-09 08:06:38.486000+00:00,5,2,3,0.39,0,2024-03-09 08:06:38.486000+00:00,CA,0,0,0,388,,34,80,,,FALSE,,,0,FALSE,,
I-34-10010,2024-03-09 08:09:01.377000+00:00,1,0,1,0.13,0,2024-03-09 08:09:01.377000+00:00,CA,0,0,0,388,,34,80,,,FALSE,,,0,FALSE,,
I-34-10011,2024-03-09 08:10:40.162000+00:00,1.5,0,1.5,0.2,0,2024-03-09 08:10:40.162000+00:00,CR,0,0,0,388,,34,80,,,FALSE,,,0,FALSE,,
I-34-10012,2024-03-09 08:32:19.973000+00:00,50,45,5,0.65,0,2024-03-09 08:32:19.973000+00:00,CA,0,0,0,388,,34,80,,,FALSE,,,0,FALSE,,
I-34-10013,2024-03-11 11:35:53.024000+00:00,11,0,11,1.43,0,2024-03-11 11:35:53.024000+00:00,CR,5,6,0,412,,34,83,,,FALSE,,,0,FALSE,,
I-34-10014,2024-03-12 00:51:34.294000+00:00,2,0,2,0.26,0,2024-03-12 00:51:34.294000+00:00,CA,0,0,0,416,,34,80,,,FALSE,,,0,FALSE,,
I-34-10015,2024-03-12 00:52:42.125000+00:00,4,0,4,0.52,0,2024-03-12 00:52:42.125000+00:00,CA,0,0,0,416,,34,80,,,FALSE,,,0,FALSE,,
I-34-10016,2024-03-12 06:28:47.410000+00:00,1,0,1,0.13,0,2024-03-12 06:28:47.410000+00:00,CA,0,0,0,416,,34,80,,,FALSE,,,0,FALSE,,
I-34-10017,2024-03-12 06:28:52.519000+00:00,1,0,1,0.13,0,2024-03-12 06:28:52.535000+00:00,CA,0,0,0,416,,34,80,,,FALSE,,,0,FALSE,,
I-34-10018,2024-03-12 06:29:16.881000+00:00,1,0,1,0.13,0,2024-03-12 06:29:16.881000+00:00,CA,0,0,0,416,,34,80,,,FALSE,,,0,FALSE,,
I-34-10019,2024-03-12 06:29:40.178000+00:00,5,4,1,0.13,0,2024-03-12 06:29:40.178000+00:00,CA,0,0,0,416,,34,80,,,FALSE,,,0,FALSE,,
I-34-10020,2024-03-12 06:29:47.319000+00:00,5,4,1,0.13,0,2024-03-12 06:29:47.319000+00:00,CA,0,0,0,416,,34,80,,,FALSE,,,0,FALSE,,
I-34-10021,2024-03-12 06:34:08.891000+00:00,5,4,1,0.13,0,2024-03-12 06:34:08.891000+00:00,CA,0,0,0,416,,34,80,,,FALSE,,,0,FALSE,,
I-34-10022,2024-03-12 06:36:26.429000+00:00,5,4,1,0.13,0,2024-03-12 06:36:26.429000+00:00,CA,0,0,0,416,,34,80,,,FALSE,,,0,FALSE,,
I-34-10023,2024-03-12 06:46:56.943000+00:00,5,4,1,0.13,0,2024-03-12 06:46:56.943000+00:00,CA,0,0,0,417,,34,80,,,FALSE,,,0,FALSE,,
I-34-10024,2024-03-12 06:48:48.682000+00:00,5,4,1,0.13,0,2024-03-12 06:48:48.682000+00:00,CA,0,0,0,417,,34,80,,,FALSE,,,0,FALSE,,
I-34-10025,2024-03-12 07:00:19.479000+00:00,5,4,1,0.13,0,2024-03-12 07:00:19.479000+00:00,CA,0,0,0,417,,34,80,,,FALSE,,,0,FALSE,,
I-34-10026,2024-03-12 07:22:15.401000+00:00,5,4,1,0.13,0,2024-03-12 07:22:15.401000+00:00,CA,0,0,0,417,,34,80,,,FALSE,,,0,FALSE,,
